id,name,type,level,level_codes,city,state,zip_code,district,latitude,longitude,rating,rating_year,distance
3604254,St Mark The Evangelist School,private,"PK,KG,1,2,3,4,5,6,7,8","p,e,m",New York,NY,10037,,40.815742,-73.938263,,,29.198604396833485
3612911,Riverview Montessori School,private,"PK,KG","p,e",Whitestone,NY,11357,,40.79063,-73.830818,,,29.20762362210596
3618109,Family Life Academy Charter School II,charter,"KG,1,2,3,4,5,6,7,8","e,m",BRONX,NY,10454,Family Life Academy Charter School II,40.81147,-73.925102,6,2020.0,29.213354542856077
3618170,American Dream Charter School,charter,"6,7,8,9,10","m,h",BRONX,NY,10454,American Dream Charter School,40.809155,-73.917458,5,2020.0,29.219911889345944
3602120,PS 30 Wilton,public,"PK,KG,1,2,3,4,5,UG","p,e",BRONX,NY,10454,New York City Geographic District # 7,40.809155,-73.917458,2,2020.0,29.219911889345944
3613456,Success Academy Charter School-Bronx 1,charter,"KG,1,2,3,4,5,6,UG",e,BRONX,NY,10451,Success Academy Charter School-Bronx 1,40.809258,-73.917946,8,2020.0,29.222205997489652
3602241,PS 65 Mother Hale Academy,public,"PK,KG,1,2,3,4,5,UG","p,e",BRONX,NY,10454,New York City Geographic District # 7,40.807724,-73.912804,7,2020.0,29.228385549355636
3613409,Academic Leadership Charter School,charter,"KG,1,2,3,4,5,6,7,8","e,m",BRONX,NY,10454,Academic Leadership Charter School,40.807697,-73.912804,10,2020.0,29.230139684591197
3608019,Long Island Hebrew Academy,private,"PK,KG,1,2,3,4,5","p,e",Great Neck,NY,11021,,40.782112,-73.733711,,,29.231786943716056
3614374,Salvation Army A/S Pgrm-Harlem,private,"PK,KG","p,e",New York,NY,10037,,40.81554,-73.939285,,,29.232225632868133
3606096,Greentrees Country Day School,private,"PK,KG,1","p,e",Syosset,NY,11791,,40.815716,-73.500793,,,29.23823182174059
3602194,PS 49 Willis Avenue,public,"PK,KG,1,2,3,4,5","p,e",BRONX,NY,10454,New York City Geographic District # 7,40.810329,-73.922707,8,2020.0,29.2415313109722
3606888,PS 179,public,"PK,KG,1,2,3,4,5,UG","p,e",BRONX,NY,10454,New York City Geographic District # 7,40.809399,-73.919983,5,2020.0,29.250686616874
3613290,Young Leaders Elementary School,public,"PK,KG,1,2,3,4,5","p,e",BRONX,NY,10454,New York City Geographic District # 7,40.80933,-73.919975,4,2020.0,29.254997700920875
3406955,Children's Home Montessori School,private,"PK,KG,1,2,3","p,e",Cliffside Park,NJ,07010,,40.831688,-73.985397,,,29.262625051263253
3618082,Eagle Academy for Young Men of Harlem,public,"6,7,8,9,10,11,UG","m,h",New York,NY,10030,New York City Geographic District # 5,40.817459,-73.947144,1,2020.0,29.27313992071284
3608321,Mott Hall High School,public,"9,10,11,12,UG",h,New York,NY,10030,New York City Geographic District # 5,40.817459,-73.947144,1,2020.0,29.27313992071284
3602870,A Philip Randolph Campus High School,public,"9,10,11,12,UG",h,New York,NY,10031,New York City Geographic District # 6,40.818356,-73.949959,3,2020.0,29.27609454807561
3606099,Variety Child Learning Center,private,"PK,KG","p,e",Syosset,NY,11791,,40.814156,-73.503761,,,29.27742552847751
3608317,Knowledge And Power Prep Academy Iv,public,"6,7,8",m,New York,NY,10030,New York City Geographic District # 5,40.817284,-73.947235,,,29.286127232281554
3611520,Jane Varick Dcc,private,"PK,KG","p,e",New York,NY,10030,,40.815544,-73.942116,,,29.289893993811127
3400534,Gilbert Avenue School,public,"PK,KG,1,2,3,4,5,UG","p,e",Elmwood Park,NJ,07407,Elmwood Park School District,40.910255,-74.124779,5,2021.0,29.302819789478917
3401728,Grant Elementary School,public,"KG,1,2,3,4,5,6",e,Ridgefield Park,NJ,07660,Ridgefield Park School District,40.847347,-74.022438,7,2021.0,29.30283594517007
3618222,Storefront Academy Charter School,charter,"KG,1,2,3,4",e,BRONX,NY,10455,Storefront Academy Charter School,40.808941,-73.92173,2,2020.0,29.31276548150173
3405410,Beyond Basic Learning,private,"PK,KG","p,e",Edgewater,NJ,07030,,40.827045,-73.975693,,,29.312983583332297
