enrollment,percent-reduced-lunch,percent-disadvantaged,percent-limited-english,average-salary,student-teacher-ratio,student-counselor-ratio,percentage-female,teachers-experience,percentage-certified,Universal_ID,Hispanic,White,African American,Asian,Native Hawaiian or Other Pacific Islander,Two or more races,Native American,Asian or Pacific Islander
433.0,23.556581,,7.31183,87841.33,14.76,228.5,47.34411,13.793103,100.0,3601754,32.794457,45.727482,3.926096,,0.230946,1.616628,0.0,15.704387
8.0,0.0,,4.0,201470.0,15.0,,62.5,100.0,100.0,3606245,25.0,75.0,0.0,,0.0,0.0,0.0,0.0
899.0,14.682981,,1.93492,100708.1,9.31,237.5,49.610678,0.980392,100.0,3601533,19.466073,75.750834,1.779755,,0.0,1.112347,0.0,1.890989
591.0,17.766497,,1.96721,105540.38,9.69,188.67,51.607445,8.561643,98.287671,3606442,18.104906,75.465313,2.87648,,0.0,1.184433,0.338409,2.030456
585.0,22.564102,,6.11888,108181.31,10.87,,48.717948,4.314814,100.0,3601531,28.034188,64.786324,1.367521,,0.17094,3.589743,0.17094,1.880341
185.0,,,,,,,52.973,,,3604420,31.012693797461242,34.177193164561366,17.088596582280683,8.860758227848356,1.2658197468360506,7.594938481012305,0.0,
508.0,20.47244,,2.95203,95026.8,9.58,508.0,47.440944,15.088645,94.341757,3603327,21.062992,72.244094,2.755905,,0.0,2.755905,0.0,1.181102
347.0,30.54755,,8.46395,128914.51,9.46,,47.838616,14.285714,100.0,3601087,38.904899,56.484149,1.152737,,0.0,1.729106,0.0,1.729106
648.0,55.864197,,20.0586,119581.65,12.98,,49.537037,0.0,100.0,3604096,57.716049,17.28395,13.271604,,0.0,5.092592,0.0,6.635802
613.0,56.443719,,10.4,104656.71,11.77,,49.429037,13.05483,100.0,3603837,59.869494,31.810766,1.794453,,0.163132,2.446982,0.0,3.915171
808.0,24.381188,,1.00756,108551.6,10.54,159.2,51.237623,3.973509,100.0,3601126,26.237623,60.643564,4.826732,,0.123762,3.465346,0.0,4.70297
503.0,61.033797,,18.4426,84749.62,12.07,236.5,41.749502,23.469387,100.0,3603203,69.18489,7.753479,18.687872,,0.0,3.180914,0.0,1.192842
319.0,8.777429,,1.5015,106014.33,8.81,,51.724137,16.666666,100.0,3601086,5.642633,79.310344,1.567398,,0.313479,5.642633,0.0,7.52351
198.0,0.0,,26.0116,160842.59,11.79,,48.484848,0.0,100.0,3600823,62.626262,8.585858,13.636363,,0.50505,0.0,0.0,14.646464
50.0,,,,,,,52.0,,,3606076,18.421088947346632,49.999970000018,0.0,5.263156842105896,0.0,26.315784210529475,0.0,
1048.0,57.347328,,11.8963,80057.07,14.7,263.5,48.854961,21.757322,100.0,3603205,64.694656,9.064885,23.950381,,0.0,1.049618,0.0,1.240458
410.0,24.878048,,2.0595,108222.22,9.31,,48.04878,2.380952,100.0,3601124,27.804878,54.390243,8.536585,,0.0,5.609756,0.0,3.658536
90.0,,,,,,,54.4444,,,3605454,33.3333,32.0,30.6667,4.0,0.0,0.0,0.0,
402.0,64.676616,,5.29248,102201.6,10.98,,53.23383,5.0,100.0,3601014,41.542288,12.935323,38.308457,,0.0,0.497512,0.0,6.716417
550.0,62.727272,,36.3118,98391.65,11.57,562.0,47.454545,14.16309,100.0,3603207,72.363636,9.090909,14.0,,0.0,3.818181,0.0,0.727272
458.0,0.0,,9.79499,141414.97,10.02,237.0,53.493449,2.114164,100.0,3600821,54.148471,11.135371,25.545851,,0.0,1.965065,0.0,7.20524
357.0,0.0,,15.3034,143552.35,10.54,,49.019607,0.0,100.0,3600822,60.784313,6.162464,17.366946,,0.0,3.361344,0.0,12.324929
115.0,,,,,,,0.0,,,3605452,0.0,100.0,0.0,0.0,0.0,0.0,0.0,
171.0,,,,,,,60.8187,,,3604243,13.98599720280056,65.73428685314263,9.090908181818362,9.79020804195839,0.0,1.398599720280056,0.0,
460.0,45.434782,,9.17431,108769.82,13.05,,51.086956,0.0,100.0,3603089,41.521739,35.434782,11.521739,,0.434782,6.086956,0.0,5.0
347.0,,,,,,,47.8386,,,3605570,0.0,0.0,0.0,100.0,0.0,0.0,0.0,
715.0,63.216783,,11.3055,103954.5,11.4,241.33,48.251748,12.598425,100.0,3603208,70.62937,6.713286,17.482517,,0.0,3.356643,0.13986,1.678321
231.0,,,,,,,50.2164,,,3604239,29.4416,50.7614,10.6599,4.06091,0.0,5.07614,0.0,
432.0,14.12037,,2.68595,114015.45,8.79,203.0,48.379629,2.164502,100.0,3603040,18.518518,71.296296,1.62037,,0.0,5.092592,0.231481,3.24074
499.0,12.825651,,2.2,112218.55,11.55,,46.693386,12.690476,100.0,3601530,20.841683,75.350701,1.002004,,0.0,1.202404,0.2004,1.402805
493.0,68.154158,,30.3704,112820.39,14.05,534.0,44.421906,2.631578,100.0,3603204,71.805273,5.882352,17.038539,,0.0,4.259634,0.0,1.014198
468.0,1.282051,,0.0,138158.2,12.78,125.25,47.435897,0.0,100.0,3603358,5.128205,85.68376,0.641025,,0.42735,2.991452,0.0,5.128205
340.0,2.058823,,0.0,126132.21,12.51,302.0,49.705882,0.552486,100.0,3607122,5.882352,81.470588,0.588235,,0.882352,6.470588,0.294117,4.411764
611.0,1.963993,,3.05466,141683.9,11.83,609.0,48.445171,0.0,100.0,3603359,10.474631,71.685761,1.800327,,3.273322,6.546644,0.490998,5.728314
626.0,12.460063,,0.0,119454.52,9.87,135.0,51.277955,1.461988,100.0,3603039,14.217252,78.753993,1.277955,,0.0,2.396166,0.0,3.354632
264.0,49.621212,,11.4007,93394.11,10.14,,45.833333,32.142857,100.0,3601012,42.80303,18.939393,24.621212,,0.0,1.893939,0.757575,10.984848
115.0,,,,,,,46.9565,,,3605152,1.7543894736831576,42.98248710525387,7.8947376315787094,32.45609026317292,0.0,14.912295526311341,0.0,
349.0,47.851002,,3.55872,113519.22,11.62,,47.564469,3.448275,100.0,3601123,43.839541,42.979942,6.303724,,0.0,5.157593,0.0,1.719197
163.0,,,,,,,39.8773,,,3607345,24.5399,47.2393,12.2699,11.0429,0.0,4.90798,0.0,
736.0,60.461956,,2.69151,98642.5,9.42,179.0,48.097826,18.421052,100.0,3601015,39.130434,8.695652,45.244565,,0.135869,0.679347,0.0,6.11413
544.0,,,,,,,100.0,,,3604354,18.5662,72.0588,3.86029,4.59559,0.0,0.183824,0.735294,
788.0,,,,,,,53.1726,,,3613204,0.0,100.0,0.0,0.0,0.0,0.0,0.0,
627.0,66.985645,,17.6883,120543.83,15.03,1222.0,46.570972,0.0,100.0,3601100,66.188197,12.599681,17.38437,,0.0,0.637958,0.159489,3.030303
355.0,12.112676,,,,,,24.507042,,,3607944,30.985915,35.774647,26.197183,,0.0,2.535211,0.0,4.507042
2238.0,58.489722,,6.97455,94764.36,12.59,182.5,51.563896,0.0,100.0,3604095,58.400357,23.0563,13.896336,,0.0,1.47453,0.044682,3.127792
984.0,31.910569,,4.05257,93231.91,11.4,200.6,50.914634,3.40909,94.318181,3603090,23.577235,45.426829,21.443089,,0.304878,2.337398,0.101626,6.808943
653.0,47.4732,,19.3009,110181.98,11.61,,49.617151,0.0,100.0,3604091,49.617151,28.790199,12.863705,,0.0,6.738131,0.0,1.990811
441.0,24.716553,,5.21542,90718.08,11.11,,47.165532,0.0,100.0,3603091,16.780045,52.380952,14.058956,,0.453514,10.884353,0.0,5.442176
529.0,16.068052,,1.7301,86826.7,10.21,,47.826086,7.575757,98.10606,3603326,23.440453,66.540642,2.835538,,0.189035,6.049149,0.0,0.945179
445.0,36.853932,,13.0531,92542.62,11.33,,50.337078,0.0,100.0,3603092,26.516853,38.876404,15.280898,,0.674157,9.662921,0.0,8.988764
645.0,61.705426,,26.1755,104929.75,11.91,,49.302325,0.0,100.0,3604093,61.550387,19.379844,12.558139,,0.155038,4.806201,0.0,1.550387
458.0,52.183406,,26.699,100169.88,11.76,426.0,47.816593,12.121212,100.0,3603290,68.777292,24.890829,3.056768,,0.0,1.310043,0.873362,1.091703
251.0,58.16733,,5.40541,96395.46,9.68,,45.01992,10.714285,100.0,3601011,43.824701,13.944223,35.458167,,0.0,0.796812,0.0,5.976095
